x,y,DEM,Soil,Multiplier,id
851965,5836560,43.16,395020,1.23354,91
851970,5836560,43.16,395020,1.23354,92
851975,5836560,43.14,395020,1.23741,93
851980,5836560,43.12,395020,1.24128,94
851985,5836560,43.15,395020,1.235475,95
851990,5836560,43.17,395020,1.231605,96
851995,5836560,43.18,395020,1.22967,97
852000,5836560,43.17,395020,1.231605,98
852005,5836560,43.17,395020,1.231605,99
852010,5836560,43.21,395020,1.223865,100
852015,5836560,43.22,395020,1.22193,101
852020,5836560,43.31,395020,1.204515,102
852025,5836560,43.39,395020,1.189035,103
852030,5836560,43.48,395020,1.17162,104
852035,5836560,43.52,395020,1.16388,105
852040,5836560,43.4,395020,1.1871,106
852045,5836560,43.3,395020,1.20645,107
851960,5836555,43.13,395020,1.239345,108
851965,5836555,43.19,395020,1.227735,109
851970,5836555,43.19,395020,1.227735,110
851975,5836555,43.2,395020,1.2258,111
851980,5836555,43.2,395020,1.2258,112
851985,5836555,43.19,395020,1.227735,113
851990,5836555,43.18,395020,1.22967,114
851995,5836555,43.18,395020,1.22967,115
852000,5836555,43.19,395020,1.227735,116
852005,5836555,43.19,395020,1.227735,117
852010,5836555,43.23,395020,1.219995,118
852015,5836555,43.32,395020,1.20258,119
852020,5836555,43.4,395020,1.1871,120
852025,5836555,43.53,395020,1.161945,121
852030,5836555,43.63,395020,1.142595,122
852035,5836555,43.62,395020,1.14453,123
852040,5836555,43.56,395020,1.15614,124
852045,5836555,43.5,395020,1.16775,125
851960,5836550,43.15,395020,1.235475,126
851965,5836550,43.22,395020,1.22193,127
851970,5836550,43.23,395020,1.219995,128
851975,5836550,43.21,395020,1.223865,129
851980,5836550,43.21,395020,1.223865,130
851985,5836550,43.24,395020,1.21806,131
851990,5836550,43.25,395020,1.216125,132
851995,5836550,43.26,395020,1.21419,133
852000,5836550,43.24,395020,1.21806,134
852005,5836550,43.24,395020,1.21806,135
852010,5836550,43.31,395020,1.204515,136
852015,5836550,43.44,395020,1.17936,137
852020,5836550,43.54,395020,1.16001,138
852025,5836550,43.65,395020,1.138725,139
852030,5836550,43.76,395020,1.11744,140
852035,5836550,43.78,395020,1.11357,141
852040,5836550,43.71,395020,1.127115,142
852045,5836550,43.6,395020,1.1484,143
851960,5836545,43.14,395020,1.23741,144
851965,5836545,43.19,395020,1.227735,145
851970,5836545,43.21,395020,1.223865,146
851975,5836545,43.23,395020,1.219995,147
851980,5836545,43.23,395020,1.219995,148
851985,5836545,43.2,395020,1.2258,149
851990,5836545,43.2,395020,1.2258,150
851995,5836545,43.2,395020,1.2258,151
852000,5836545,43.23,395020,1.219995,152
852005,5836545,43.26,395020,1.21419,153
852010,5836545,43.34,395020,1.19871,154
852015,5836545,43.48,395020,1.17162,155
852020,5836545,43.63,395020,1.142595,156
852025,5836545,43.77,395020,1.115505,157
852030,5836545,43.89,395020,1.092285,158
852035,5836545,44.03,395020,1.065195,159
852040,5836545,44.04,395020,1.06326,160
852045,5836545,43.87,395020,1.096155,161
851960,5836540,43.18,395020,1.22967,162
851965,5836540,43.2,395020,1.2258,163
851970,5836540,43.22,395020,1.22193,164
851975,5836540,43.23,395020,1.219995,165
851980,5836540,43.25,395020,1.216125,166
851985,5836540,43.24,395020,1.21806,167
851990,5836540,43.18,395020,1.22967,168
851995,5836540,43.15,395020,1.235475,169
852000,5836540,43.2,395020,1.2258,170
852005,5836540,43.26,395020,1.21419,171
852010,5836540,43.34,395020,1.19871,172
852015,5836540,43.53,395020,1.161945,173
852020,5836540,43.7,395020,1.12905,174
852025,5836540,43.87,395020,1.096155,175
852030,5836540,44.1,395020,1.05165,176
